"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC","A","2000",17.2,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2001",14.342105263,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2002",15,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2003",13.043478261,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2004",14.352941176,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2005",15.777777778,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2006",16.666666667,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2007",15.4,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2008",11.937377691,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2009",16.363636364,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2010",14.04293381,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2011",15.966386555,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2012",13.75,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2013",18,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2014",15.384615385,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2015",13,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2016",11.538461538,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2017",11.664190193,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2018",11.714285714,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2019",14.157877916,
"AUS","WAGEGAP","EMPLOYEE","PC","A","2020",9.863859826,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2000",23.141943088,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2001",22.801817823,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2002",24.48922362,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2003",21.136921977,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2004",22.430792158,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2005",22.032085753,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2006",21.855130427,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2007",21.634276366,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2008",20.917320274,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2009",19.355965917,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2010",19.188862682,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2011",18.550554118,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2012",18.185056843,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2013",18.053211411,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2014",17.728884245,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2015",17.04325299,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2016",15.670899643,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2017",15.38215397,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2018",14.876690892,
"AUT","WAGEGAP","EMPLOYEE","PC","A","2019",14.011740808,
